time,round,batch_num,client_id,epoch,train_loss,train_acc,batch_size
2025-10-05 15:32:43,3,26,15,2,1.2883754968643188,0.4375,32
2025-10-05 15:32:35,3,57,14,2,1.4053521156311035,0.53125,32
2025-10-05 15:32:23,3,100,9,2,1.1886100769042969,0.625,32
2025-10-05 15:32:43,3,27,15,2,1.1310997009277344,0.59375,32
2025-10-05 15:32:29,3,110,12,1,1.0132330656051636,0.5625,32
2025-10-05 15:32:35,3,58,14,2,1.1731834411621094,0.5625,32
2025-10-05 15:32:23,3,101,9,2,1.0447914600372314,0.5625,32
2025-10-05 15:32:43,3,28,15,2,1.2517685890197754,0.40625,32
2025-10-05 15:32:29,3,111,12,1,1.0921298265457153,0.59375,32
2025-10-05 15:32:23,3,102,9,2,1.1123771667480469,0.65625,32
2025-10-05 15:32:35,3,59,14,2,1.253633737564087,0.59375,32
2025-10-05 15:32:43,3,29,15,2,1.216347575187683,0.53125,32
2025-10-05 15:32:29,3,112,12,1,0.8950012922286987,0.6875,32
2025-10-05 15:32:23,3,103,9,2,1.3974525928497314,0.5,32
2025-10-05 15:32:35,3,60,14,2,1.1866893768310547,0.59375,32
2025-10-05 15:32:43,3,30,15,2,1.0547901391983032,0.5625,32
2025-10-05 15:32:29,3,113,12,1,0.7071707248687744,0.75,32
2025-10-05 15:32:35,3,61,14,2,0.8492966294288635,0.75,32
2025-10-05 15:32:23,3,104,9,2,1.238126277923584,0.59375,32
2025-10-05 15:32:43,3,31,15,2,0.991557240486145,0.59375,32
2025-10-05 15:32:29,3,114,12,1,0.9031452536582947,0.59375,32
2025-10-05 15:32:35,3,62,14,2,1.1457812786102295,0.59375,32
2025-10-05 15:32:23,3,105,9,2,1.1933739185333252,0.5,32
2025-10-05 15:32:43,3,32,15,2,1.3774669170379639,0.46875,32
2025-10-05 15:32:29,3,115,12,1,0.8109191060066223,0.65625,32
2025-10-05 15:32:35,3,63,14,2,1.5023589134216309,0.40625,32
2025-10-05 15:32:23,3,106,9,2,1.014249324798584,0.59375,32
2025-10-05 15:32:43,3,33,15,2,1.302711844444275,0.5,32
2025-10-05 15:32:29,3,116,12,1,0.8717758059501648,0.6875,32
2025-10-05 15:32:35,3,64,14,2,1.9156744480133057,0.3125,32
2025-10-05 15:32:23,3,107,9,2,1.1368939876556396,0.59375,32
2025-10-05 15:32:43,3,34,15,2,0.8613831996917725,0.71875,32
2025-10-05 15:32:29,3,117,12,1,1.1629765033721924,0.625,32
2025-10-05 15:32:35,3,65,14,2,1.446028709411621,0.5,32
2025-10-05 15:32:23,3,108,9,2,1.4673012495040894,0.5,32
2025-10-05 15:32:43,3,35,15,2,1.2650396823883057,0.40625,32
2025-10-05 15:32:29,3,118,12,1,0.8966763019561768,0.75,32
2025-10-05 15:32:35,3,66,14,2,1.7227026224136353,0.375,32
2025-10-05 15:32:23,3,109,9,2,0.9831666946411133,0.65625,32
2025-10-05 15:32:43,3,36,15,2,1.2745964527130127,0.40625,32
2025-10-05 15:32:29,3,119,12,1,1.0180765390396118,0.625,32
2025-10-05 15:32:23,3,110,9,2,1.0259480476379395,0.65625,32
2025-10-05 15:32:35,3,67,14,2,1.5548888444900513,0.40625,32
2025-10-05 15:32:43,3,37,15,2,1.500484824180603,0.46875,32
2025-10-05 15:32:29,3,120,12,1,0.7830021977424622,0.59375,32
2025-10-05 15:32:35,3,68,14,2,1.3858683109283447,0.5,32
2025-10-05 15:32:23,3,111,9,2,1.4783732891082764,0.4375,32
2025-10-05 15:32:43,3,38,15,2,1.0564289093017578,0.59375,32
2025-10-05 15:32:29,3,121,12,1,1.0063139200210571,0.6875,32
